Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,data_origin
16/09/2021,Brentford,Crystal Palace,2,0,H,4,2,synthetic_demo
16/09/2021,Sunderland,Chelsea,1,2,A,3,6,synthetic_demo
17/09/2021,Aston Villa,Bournemouth,2,4,A,5,6,synthetic_demo
18/09/2021,Man City,Liverpool,1,3,A,7,4,synthetic_demo
19/09/2021,Man City,Leeds,1,0,H,1,2,synthetic_demo
19/09/2021,Brighton,Sunderland,2,0,H,6,2,synthetic_demo
20/09/2021,Man City,Arsenal,3,1,H,6,4,synthetic_demo
21/09/2021,Liverpool,Bournemouth,1,1,D,6,5,synthetic_demo
21/09/2021,Sunderland,West Ham,2,0,H,5,4,synthetic_demo
22/09/2021,Burnley,Crystal Palace,1,2,A,1,5,synthetic_demo
23/09/2021,Brighton,Fulham,2,1,H,4,3,synthetic_demo
24/09/2021,Liverpool,Newcastle,1,0,H,5,3,synthetic_demo
24/09/2021,Arsenal,Brighton,2,0,H,4,5,synthetic_demo
25/09/2021,Fulham,Bournemouth,1,3,A,6,5,synthetic_demo
26/09/2021,Tottenham,Man City,0,0,D,5,6,synthetic_demo
26/09/2021,Burnley,Fulham,2,1,H,3,4,synthetic_demo
27/09/2021,Nott'm Forest,Wolves,1,3,A,3,5,synthetic_demo
28/09/2021,Newcastle,Chelsea,0,2,A,4,7,synthetic_demo
28/09/2021,Burnley,Aston Villa,0,2,A,6,5,synthetic_demo
29/09/2021,Aston Villa,Tottenham,3,1,H,8,4,synthetic_demo
30/09/2021,Bournemouth,Newcastle,1,1,D,4,3,synthetic_demo
01/10/2021,Chelsea,West Ham,4,2,H,6,5,synthetic_demo
01/10/2021,Chelsea,Bournemouth,2,0,H,5,4,synthetic_demo
02/10/2021,Nott'm Forest,Chelsea,1,0,H,4,8,synthetic_demo
03/10/2021,Man United,Aston Villa,2,3,A,5,4,synthetic_demo
03/10/2021,Leeds,Crystal Palace,3,0,H,4,5,synthetic_demo
04/10/2021,Crystal Palace,Bournemouth,0,0,D,1,4,synthetic_demo
05/10/2021,Aston Villa,Liverpool,4,0,H,9,4,synthetic_demo
06/10/2021,West Ham,Liverpool,0,1,A,2,7,synthetic_demo
06/10/2021,West Ham,Everton,1,1,D,2,5,synthetic_demo
07/10/2021,Wolves,West Ham,3,3,D,9,7,synthetic_demo
08/10/2021,Liverpool,Wolves,1,2,A,4,7,synthetic_demo
08/10/2021,Wolves,Man United,1,0,H,3,2,synthetic_demo
09/10/2021,West Ham,Brentford,3,2,H,5,5,synthetic_demo
10/10/2021,Bournemouth,Liverpool,0,0,D,3,11,synthetic_demo
11/10/2021,Man City,Crystal Palace,0,1,A,4,7,synthetic_demo
11/10/2021,Crystal Palace,Fulham,1,2,A,3,3,synthetic_demo
12/10/2021,Brighton,Bournemouth,3,0,H,7,3,synthetic_demo
13/10/2021,Newcastle,Leeds,2,0,H,7,0,synthetic_demo
13/10/2021,Wolves,Liverpool,2,0,H,4,4,synthetic_demo
14/10/2021,Everton,Nott'm Forest,1,4,A,6,6,synthetic_demo
15/10/2021,Sunderland,Tottenham,1,3,A,3,7,synthetic_demo
16/10/2021,Bournemouth,Brighton,0,0,D,6,2,synthetic_demo
16/10/2021,Man United,Everton,2,3,A,8,6,synthetic_demo
17/10/2021,Everton,Sunderland,3,2,H,9,5,synthetic_demo
18/10/2021,Brighton,West Ham,2,1,H,8,2,synthetic_demo
18/10/2021,Sunderland,Man City,0,3,A,2,6,synthetic_demo
19/10/2021,Chelsea,Liverpool,0,3,A,4,11,synthetic_demo
20/10/2021,Everton,Aston Villa,2,1,H,7,2,synthetic_demo
21/10/2021,Chelsea,Burnley,0,1,A,6,4,synthetic_demo
21/10/2021,Burnley,Man United,1,1,D,2,5,synthetic_demo
22/10/2021,Crystal Palace,Leeds,2,2,D,6,4,synthetic_demo
23/10/2021,Brentford,Wolves,2,1,H,3,4,synthetic_demo
23/10/2021,Burnley,Liverpool,1,2,A,6,9,synthetic_demo
24/10/2021,Aston Villa,Man United,0,0,D,0,3,synthetic_demo
25/10/2021,Sunderland,Newcastle,1,1,D,4,8,synthetic_demo
25/10/2021,Tottenham,Sunderland,1,0,H,9,6,synthetic_demo
26/10/2021,Arsenal,Newcastle,1,1,D,6,2,synthetic_demo
27/10/2021,Everton,Bournemouth,2,2,D,4,3,synthetic_demo
28/10/2021,Tottenham,Man United,0,1,A,4,4,synthetic_demo
28/10/2021,Burnley,Man City,0,2,A,3,7,synthetic_demo
29/10/2021,Man City,Bournemouth,0,0,D,2,5,synthetic_demo
30/10/2021,Brighton,Burnley,2,0,H,5,4,synthetic_demo
30/10/2021,West Ham,Newcastle,2,5,A,7,9,synthetic_demo
31/10/2021,Man United,Tottenham,1,2,A,3,8,synthetic_demo
01/11/2021,Aston Villa,Newcastle,2,2,D,4,4,synthetic_demo
02/11/2021,Fulham,Everton,1,2,A,4,5,synthetic_demo
02/11/2021,Leeds,Sunderland,1,0,H,3,2,synthetic_demo
03/11/2021,Leeds,Brighton,1,1,D,1,4,synthetic_demo
04/11/2021,Aston Villa,Fulham,1,1,D,4,3,synthetic_demo
04/11/2021,Newcastle,Burnley,2,2,D,4,3,synthetic_demo
05/11/2021,Sunderland,Aston Villa,0,1,A,3,4,synthetic_demo
06/11/2021,Tottenham,Newcastle,1,1,D,6,6,synthetic_demo
07/11/2021,Liverpool,Tottenham,1,0,H,2,2,synthetic_demo
07/11/2021,Liverpool,Aston Villa,1,0,H,7,2,synthetic_demo
08/11/2021,Sunderland,Burnley,1,0,H,5,4,synthetic_demo
09/11/2021,Man City,Man United,2,1,H,4,2,synthetic_demo
09/11/2021,Bournemouth,Crystal Palace,0,0,D,2,2,synthetic_demo
10/11/2021,Tottenham,Crystal Palace,0,0,D,6,7,synthetic_demo
11/11/2021,West Ham,Man United,1,2,A,2,6,synthetic_demo
12/11/2021,Man United,West Ham,1,0,H,4,4,synthetic_demo
12/11/2021,Crystal Palace,Man United,1,0,H,3,5,synthetic_demo
13/11/2021,Brighton,Liverpool,2,1,H,6,4,synthetic_demo
14/11/2021,Crystal Palace,Brighton,1,1,D,5,5,synthetic_demo
14/11/2021,Leeds,Liverpool,0,3,A,2,8,synthetic_demo
15/11/2021,Burnley,Nott'm Forest,0,1,A,1,1,synthetic_demo
16/11/2021,Newcastle,Nott'm Forest,2,0,H,7,2,synthetic_demo
17/11/2021,Liverpool,Man City,1,1,D,5,8,synthetic_demo
17/11/2021,Newcastle,Man City,1,2,A,5,8,synthetic_demo
18/11/2021,Man United,Crystal Palace,1,2,A,4,5,synthetic_demo
19/11/2021,Liverpool,Sunderland,4,0,H,6,0,synthetic_demo
19/11/2021,Fulham,Man City,3,1,H,9,4,synthetic_demo
20/11/2021,Newcastle,Tottenham,0,2,A,1,3,synthetic_demo
21/11/2021,Brighton,Chelsea,0,1,A,4,5,synthetic_demo
21/11/2021,Sunderland,Brighton,1,0,H,2,3,synthetic_demo
22/11/2021,Brentford,Brighton,2,0,H,4,6,synthetic_demo
23/11/2021,Nott'm Forest,Burnley,1,2,A,4,4,synthetic_demo
24/11/2021,Brentford,Man United,1,1,D,6,2,synthetic_demo
24/11/2021,Chelsea,Man United,0,2,A,4,2,synthetic_demo
25/11/2021,Brighton,Arsenal,2,0,H,6,5,synthetic_demo
26/11/2021,Brighton,Aston Villa,3,1,H,4,2,synthetic_demo
26/11/2021,Leeds,Brentford,1,0,H,4,1,synthetic_demo
27/11/2021,Burnley,Leeds,4,0,H,11,2,synthetic_demo
28/11/2021,Tottenham,Liverpool,1,1,D,8,3,synthetic_demo
29/11/2021,Man City,Tottenham,2,1,H,10,2,synthetic_demo
29/11/2021,Leeds,Arsenal,0,0,D,3,3,synthetic_demo
30/11/2021,Man United,Leeds,2,2,D,5,5,synthetic_demo
01/12/2021,Chelsea,Tottenham,0,3,A,4,5,synthetic_demo
01/12/2021,Nott'm Forest,Bournemouth,0,0,D,2,2,synthetic_demo
02/12/2021,Chelsea,Newcastle,1,2,A,8,6,synthetic_demo
03/12/2021,Everton,Chelsea,1,1,D,5,4,synthetic_demo
04/12/2021,Man City,Everton,3,0,H,5,5,synthetic_demo
04/12/2021,Arsenal,Fulham,0,0,D,2,7,synthetic_demo
05/12/2021,Man United,Bournemouth,1,1,D,2,3,synthetic_demo
06/12/2021,Liverpool,Fulham,2,2,D,5,8,synthetic_demo
06/12/2021,Leeds,Bournemouth,0,1,A,6,6,synthetic_demo
07/12/2021,Brentford,Liverpool,1,2,A,4,6,synthetic_demo
08/12/2021,Sunderland,Brentford,1,0,H,5,8,synthetic_demo
09/12/2021,Chelsea,Leeds,4,1,H,8,4,synthetic_demo
09/12/2021,Leeds,Chelsea,1,2,A,5,6,synthetic_demo
10/12/2021,Brentford,Aston Villa,1,1,D,5,6,synthetic_demo
11/12/2021,Everton,Tottenham,2,1,H,7,4,synthetic_demo
11/12/2021,Fulham,Brentford,0,1,A,2,5,synthetic_demo
12/12/2021,Bournemouth,Brentford,0,2,A,2,5,synthetic_demo
13/12/2021,West Ham,Leeds,1,1,D,4,4,synthetic_demo
14/12/2021,Man United,Newcastle,0,1,A,3,9,synthetic_demo
14/12/2021,Sunderland,Man United,0,0,D,5,2,synthetic_demo
15/12/2021,Everton,Brighton,1,2,A,2,4,synthetic_demo
16/12/2021,Tottenham,Brighton,0,2,A,3,9,synthetic_demo
16/12/2021,Aston Villa,Brentford,2,1,H,5,2,synthetic_demo
17/12/2021,Man City,West Ham,2,0,H,7,1,synthetic_demo
18/12/2021,Leeds,Aston Villa,3,0,H,7,5,synthetic_demo
18/12/2021,Man City,Burnley,0,1,A,4,1,synthetic_demo
19/12/2021,Burnley,Wolves,1,1,D,6,5,synthetic_demo
20/12/2021,Everton,Crystal Palace,0,1,A,3,3,synthetic_demo
21/12/2021,Newcastle,Wolves,1,0,H,4,1,synthetic_demo
21/12/2021,Everton,Fulham,1,1,D,1,3,synthetic_demo
22/12/2021,Arsenal,Burnley,2,2,D,8,6,synthetic_demo
23/12/2021,Liverpool,Burnley,3,1,H,7,3,synthetic_demo
23/12/2021,Arsenal,Man United,0,1,A,6,6,synthetic_demo
24/12/2021,Wolves,Everton,0,0,D,3,2,synthetic_demo
25/12/2021,Sunderland,Bournemouth,3,1,H,6,1,synthetic_demo
26/12/2021,Tottenham,Arsenal,0,3,A,3,6,synthetic_demo
26/12/2021,Brighton,Nott'm Forest,1,3,A,6,4,synthetic_demo
27/12/2021,Newcastle,Arsenal,0,0,D,5,4,synthetic_demo
28/12/2021,West Ham,Fulham,1,2,A,4,3,synthetic_demo
28/12/2021,Brentford,Tottenham,1,3,A,4,6,synthetic_demo
29/12/2021,Arsenal,Liverpool,1,0,H,6,5,synthetic_demo
30/12/2021,Chelsea,Brighton,0,1,A,8,5,synthetic_demo
31/12/2021,Fulham,Brighton,2,0,H,5,4,synthetic_demo
31/12/2021,Brentford,Leeds,2,5,A,5,7,synthetic_demo
01/01/2022,Liverpool,West Ham,2,0,H,9,1,synthetic_demo
02/01/2022,Burnley,Newcastle,0,0,D,5,4,synthetic_demo
02/01/2022,Burnley,Bournemouth,0,2,A,3,3,synthetic_demo
03/01/2022,Burnley,Brentford,1,1,D,3,5,synthetic_demo
04/01/2022,Arsenal,Chelsea,0,3,A,5,9,synthetic_demo
05/01/2022,Wolves,Aston Villa,1,0,H,3,2,synthetic_demo
05/01/2022,Bournemouth,Nott'm Forest,2,2,D,3,3,synthetic_demo
06/01/2022,Brentford,West Ham,5,1,H,5,5,synthetic_demo
07/01/2022,Chelsea,Nott'm Forest,0,0,D,4,0,synthetic_demo
07/01/2022,Chelsea,Sunderland,3,1,H,11,1,synthetic_demo
08/01/2022,Wolves,Man City,0,0,D,4,2,synthetic_demo
09/01/2022,Brighton,Wolves,1,0,H,7,3,synthetic_demo
10/01/2022,Fulham,Leeds,1,0,H,3,3,synthetic_demo
10/01/2022,Brighton,Everton,2,1,H,8,1,synthetic_demo
11/01/2022,Fulham,Wolves,1,0,H,2,1,synthetic_demo
12/01/2022,Wolves,Tottenham,0,1,A,1,6,synthetic_demo
12/01/2022,Liverpool,Brentford,4,0,H,6,1,synthetic_demo
13/01/2022,Aston Villa,Sunderland,1,1,D,3,6,synthetic_demo
14/01/2022,Brighton,Brentford,1,0,H,6,1,synthetic_demo
14/01/2022,Chelsea,Brentford,1,3,A,2,5,synthetic_demo
15/01/2022,Man City,Newcastle,1,1,D,9,1,synthetic_demo
16/01/2022,Fulham,Arsenal,0,1,A,4,3,synthetic_demo
17/01/2022,Tottenham,West Ham,3,1,H,4,1,synthetic_demo
17/01/2022,West Ham,Sunderland,1,0,H,5,3,synthetic_demo
18/01/2022,Fulham,Newcastle,1,1,D,3,4,synthetic_demo
19/01/2022,Everton,West Ham,0,3,A,5,6,synthetic_demo
19/01/2022,Brentford,Bournemouth,2,2,D,5,8,synthetic_demo
20/01/2022,Wolves,Sunderland,1,1,D,2,2,synthetic_demo
21/01/2022,Fulham,Sunderland,2,2,D,5,3,synthetic_demo
22/01/2022,Crystal Palace,Tottenham,3,1,H,5,2,synthetic_demo
22/01/2022,Man United,Liverpool,1,0,H,2,7,synthetic_demo
23/01/2022,Everton,Arsenal,0,0,D,4,3,synthetic_demo
24/01/2022,Brighton,Tottenham,1,2,A,6,9,synthetic_demo
24/01/2022,Man City,Brentford,5,0,H,7,4,synthetic_demo
25/01/2022,Tottenham,Brentford,3,1,H,9,8,synthetic_demo
26/01/2022,Nott'm Forest,Tottenham,2,1,H,5,4,synthetic_demo
27/01/2022,Liverpool,Crystal Palace,0,1,A,4,5,synthetic_demo
27/01/2022,Brentford,Chelsea,1,2,A,6,10,synthetic_demo
28/01/2022,Liverpool,Brighton,5,1,H,10,3,synthetic_demo
29/01/2022,Burnley,Tottenham,1,3,A,5,5,synthetic_demo
29/01/2022,Bournemouth,Wolves,5,0,H,8,1,synthetic_demo
30/01/2022,Nott'm Forest,Everton,0,0,D,6,1,synthetic_demo
31/01/2022,Aston Villa,Man City,2,2,D,7,6,synthetic_demo
01/02/2022,Bournemouth,Aston Villa,1,2,A,1,4,synthetic_demo
01/02/2022,Crystal Palace,Nott'm Forest,2,0,H,5,2,synthetic_demo
02/02/2022,Newcastle,Liverpool,0,2,A,5,4,synthetic_demo
03/02/2022,West Ham,Tottenham,1,1,D,6,2,synthetic_demo
03/02/2022,Aston Villa,Brighton,0,1,A,1,5,synthetic_demo
04/02/2022,Man City,Aston Villa,1,1,D,3,1,synthetic_demo
05/02/2022,Sunderland,Leeds,2,2,D,3,11,synthetic_demo
06/02/2022,Man City,Brighton,4,1,H,14,6,synthetic_demo
06/02/2022,Nott'm Forest,Man City,0,2,A,4,5,synthetic_demo
07/02/2022,Nott'm Forest,Brighton,1,0,H,5,1,synthetic_demo
08/02/2022,Bournemouth,Chelsea,0,2,A,9,7,synthetic_demo
08/02/2022,West Ham,Burnley,3,0,H,6,2,synthetic_demo
09/02/2022,Arsenal,Nott'm Forest,3,0,H,5,0,synthetic_demo
10/02/2022,Wolves,Burnley,0,3,A,2,3,synthetic_demo
10/02/2022,Burnley,Chelsea,1,1,D,6,6,synthetic_demo
11/02/2022,Newcastle,Aston Villa,2,1,H,4,8,synthetic_demo
12/02/2022,Arsenal,Crystal Palace,2,0,H,6,4,synthetic_demo
13/02/2022,Chelsea,Crystal Palace,1,1,D,6,3,synthetic_demo
13/02/2022,Newcastle,Crystal Palace,0,2,A,1,8,synthetic_demo
14/02/2022,Brighton,Newcastle,3,0,H,8,2,synthetic_demo
15/02/2022,Everton,Liverpool,0,3,A,7,7,synthetic_demo
15/02/2022,Newcastle,Sunderland,2,1,H,7,5,synthetic_demo
16/02/2022,Everton,Burnley,1,0,H,3,0,synthetic_demo
17/02/2022,Crystal Palace,Man City,0,0,D,3,3,synthetic_demo
18/02/2022,Chelsea,Man City,3,3,D,5,6,synthetic_demo
18/02/2022,Liverpool,Arsenal,1,1,D,5,2,synthetic_demo
19/02/2022,Burnley,Brighton,0,2,A,2,3,synthetic_demo
20/02/2022,Wolves,Fulham,0,4,A,1,5,synthetic_demo
20/02/2022,West Ham,Arsenal,0,1,A,3,4,synthetic_demo
21/02/2022,Chelsea,Fulham,0,0,D,4,3,synthetic_demo
22/02/2022,Nott'm Forest,Aston Villa,0,1,A,5,6,synthetic_demo
23/02/2022,Leeds,West Ham,1,1,D,6,4,synthetic_demo
23/02/2022,Crystal Palace,Burnley,1,3,A,6,7,synthetic_demo
24/02/2022,West Ham,Man City,0,1,A,4,3,synthetic_demo
25/02/2022,Fulham,Chelsea,1,1,D,4,6,synthetic_demo
25/02/2022,Man United,Man City,0,0,D,3,6,synthetic_demo
26/02/2022,West Ham,Wolves,1,1,D,8,5,synthetic_demo
27/02/2022,Brentford,Sunderland,4,1,H,10,3,synthetic_demo
28/02/2022,Nott'm Forest,Newcastle,2,2,D,2,5,synthetic_demo
28/02/2022,Crystal Palace,Everton,2,0,H,6,2,synthetic_demo
01/03/2022,Brighton,Crystal Palace,0,1,A,4,7,synthetic_demo
02/03/2022,Sunderland,Liverpool,2,4,A,6,5,synthetic_demo
02/03/2022,Brentford,Burnley,1,1,D,4,3,synthetic_demo
03/03/2022,Liverpool,Everton,2,1,H,4,4,synthetic_demo
04/03/2022,Fulham,Liverpool,1,1,D,4,2,synthetic_demo
05/03/2022,Nott'm Forest,West Ham,1,0,H,5,1,synthetic_demo
05/03/2022,West Ham,Aston Villa,2,0,H,8,4,synthetic_demo
06/03/2022,West Ham,Nott'm Forest,0,1,A,1,3,synthetic_demo
07/03/2022,Everton,Newcastle,0,2,A,6,10,synthetic_demo
07/03/2022,Brighton,Leeds,2,1,H,4,4,synthetic_demo
08/03/2022,Arsenal,Man City,2,0,H,5,7,synthetic_demo
09/03/2022,Everton,Man United,0,0,D,6,1,synthetic_demo
09/03/2022,Tottenham,Fulham,4,2,H,5,3,synthetic_demo
10/03/2022,Man City,Sunderland,3,1,H,6,1,synthetic_demo
11/03/2022,Brentford,Newcastle,2,0,H,8,2,synthetic_demo
12/03/2022,Tottenham,Aston Villa,1,3,A,7,5,synthetic_demo
12/03/2022,Arsenal,Bournemouth,0,0,D,3,3,synthetic_demo
13/03/2022,Bournemouth,Fulham,1,1,D,5,4,synthetic_demo
14/03/2022,Everton,Wolves,3,1,H,8,5,synthetic_demo
14/03/2022,Arsenal,Wolves,1,0,H,3,3,synthetic_demo
15/03/2022,Man United,Wolves,0,1,A,2,3,synthetic_demo
16/03/2022,Sunderland,Crystal Palace,0,0,D,0,5,synthetic_demo
17/03/2022,Sunderland,Everton,1,0,H,2,3,synthetic_demo
17/03/2022,Brighton,Man City,1,2,A,7,5,synthetic_demo
18/03/2022,Burnley,Everton,1,1,D,2,5,synthetic_demo
19/03/2022,Nott'm Forest,Crystal Palace,1,1,D,6,4,synthetic_demo
19/03/2022,Burnley,Arsenal,1,1,D,4,5,synthetic_demo
20/03/2022,Liverpool,Leeds,1,0,H,5,2,synthetic_demo
21/03/2022,Aston Villa,Nott'm Forest,3,0,H,7,1,synthetic_demo
22/03/2022,Fulham,Nott'm Forest,4,1,H,9,3,synthetic_demo
22/03/2022,Tottenham,Leeds,0,0,D,1,3,synthetic_demo
23/03/2022,Crystal Palace,Newcastle,1,1,D,3,6,synthetic_demo
24/03/2022,Fulham,Crystal Palace,2,0,H,6,4,synthetic_demo
24/03/2022,Man United,Brighton,2,1,H,4,10,synthetic_demo
25/03/2022,Chelsea,Aston Villa,2,0,H,6,7,synthetic_demo
26/03/2022,Bournemouth,Leeds,0,2,A,3,4,synthetic_demo
27/03/2022,Nott'm Forest,Man United,1,3,A,4,5,synthetic_demo
27/03/2022,Man City,Wolves,1,1,D,4,2,synthetic_demo
28/03/2022,Man United,Fulham,1,0,H,5,3,synthetic_demo
29/03/2022,Brentford,Everton,3,1,H,6,5,synthetic_demo
29/03/2022,Liverpool,Chelsea,1,0,H,2,2,synthetic_demo
30/03/2022,Aston Villa,Crystal Palace,0,0,D,4,3,synthetic_demo
31/03/2022,West Ham,Brighton,3,2,H,9,4,synthetic_demo
01/04/2022,Arsenal,Tottenham,1,1,D,7,4,synthetic_demo
01/04/2022,Man City,Fulham,2,1,H,7,6,synthetic_demo
02/04/2022,Crystal Palace,West Ham,0,0,D,2,2,synthetic_demo
03/04/2022,Leeds,Man United,0,1,A,2,6,synthetic_demo
03/04/2022,Aston Villa,Arsenal,1,2,A,6,6,synthetic_demo
04/04/2022,Wolves,Chelsea,1,0,H,2,5,synthetic_demo
05/04/2022,Arsenal,West Ham,4,1,H,5,4,synthetic_demo
05/04/2022,Wolves,Crystal Palace,3,0,H,3,5,synthetic_demo
06/04/2022,Tottenham,Bournemouth,2,2,D,2,5,synthetic_demo
07/04/2022,Crystal Palace,Wolves,1,2,A,3,7,synthetic_demo
08/04/2022,Crystal Palace,Arsenal,0,1,A,0,2,synthetic_demo
08/04/2022,Aston Villa,West Ham,2,1,H,5,5,synthetic_demo
09/04/2022,West Ham,Chelsea,0,2,A,0,6,synthetic_demo
10/04/2022,Leeds,Fulham,1,0,H,4,4,synthetic_demo
10/04/2022,Aston Villa,Wolves,1,0,H,4,3,synthetic_demo
11/04/2022,Wolves,Leeds,3,0,H,6,4,synthetic_demo
12/04/2022,Sunderland,Wolves,1,3,A,3,4,synthetic_demo
13/04/2022,Bournemouth,Sunderland,2,3,A,4,6,synthetic_demo
13/04/2022,Arsenal,Everton,1,1,D,6,4,synthetic_demo
14/04/2022,Crystal Palace,Liverpool,1,3,A,6,6,synthetic_demo
15/04/2022,Nott'm Forest,Sunderland,2,1,H,4,2,synthetic_demo
15/04/2022,Leeds,Nott'm Forest,1,0,H,3,4,synthetic_demo
16/04/2022,Sunderland,Nott'm Forest,0,3,A,1,6,synthetic_demo
17/04/2022,Bournemouth,Everton,1,0,H,5,2,synthetic_demo
18/04/2022,Tottenham,Nott'm Forest,1,2,A,2,6,synthetic_demo
18/04/2022,Aston Villa,Chelsea,1,1,D,5,8,synthetic_demo
19/04/2022,Crystal Palace,Chelsea,1,0,H,3,3,synthetic_demo
20/04/2022,Man United,Nott'm Forest,2,0,H,6,3,synthetic_demo
20/04/2022,Sunderland,Fulham,1,0,H,5,1,synthetic_demo
21/04/2022,Leeds,Everton,0,0,D,3,2,synthetic_demo
22/04/2022,Everton,Leeds,1,1,D,4,3,synthetic_demo
23/04/2022,Newcastle,Bournemouth,2,1,H,8,8,synthetic_demo
23/04/2022,Arsenal,Sunderland,1,2,A,5,5,synthetic_demo
24/04/2022,Leeds,Tottenham,3,2,H,6,6,synthetic_demo
25/04/2022,Chelsea,Arsenal,0,0,D,3,1,synthetic_demo
25/04/2022,Aston Villa,Burnley,3,1,H,9,3,synthetic_demo
26/04/2022,Chelsea,Wolves,0,0,D,5,4,synthetic_demo
27/04/2022,Leeds,Man City,0,2,A,1,3,synthetic_demo
01/08/2022,Man City,Newcastle,1,1,D,6,6,synthetic_demo
01/08/2022,Sunderland,Brighton,0,2,A,3,3,synthetic_demo
